标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
机器人总动员,2008 / 美国 / 科幻 动画 冒险 / 安德鲁·斯坦顿 / 本·贝尔特 艾丽莎·奈特,9.3,https://movie.douban.com/subject/2131459/,2020-07-25 17:49:26,5,,,public
三傻大闹宝莱坞,2009 / 印度 / 剧情 喜剧 爱情 歌舞 / 拉吉库马尔·希拉尼 / 阿米尔·汗 卡琳娜·卡普尔,9.2,https://movie.douban.com/subject/3793023/,2020-07-25 17:49:10,5,,,public
楚门的世界,1998 / 美国 / 剧情 科幻 / 彼得·威尔 / 金·凯瑞 劳拉·琳妮,9.4,https://movie.douban.com/subject/1292064/,2020-07-25 17:48:58,5,,,public
红猪,1992 / 日本 / 喜剧 动画 冒险 / 宫崎骏 / 森山周一郎 加藤登纪子,8.6,https://movie.douban.com/subject/1291838/,2021-11-10 18:43:52,5,,,public
幽灵公主,1997 / 日本 / 动画 奇幻 冒险 / 宫崎骏 / 松田洋治 石田百合子,8.9,https://movie.douban.com/subject/1297359/,2021-03-12 22:36:19,5,,,public
哈尔的移动城堡,2004 / 日本 / 爱情 动画 奇幻 冒险 / 宫崎骏 / 倍赏千惠子 木村拓哉,9.1,https://movie.douban.com/subject/1308807/,2020-07-25 17:46:20,,,,public
天空之城,1986 / 日本 / 动画 奇幻 冒险 / 宫崎骏 / 田中真弓 横泽启子,9.2,https://movie.douban.com/subject/1291583/,2021-11-10 18:44:35,5,,,public
千与千寻,2001 / 日本 / 剧情 动画 奇幻 / 宫崎骏 / 柊瑠美 入野自由,9.4,https://movie.douban.com/subject/1291561/,2020-07-25 17:45:47,5,,,public
泰坦尼克号,1997 / 美国 墨西哥 / 剧情 爱情 灾难 / 詹姆斯·卡梅隆 / 莱昂纳多·迪卡普里奥 凯特·温斯莱特,9.5,https://movie.douban.com/subject/1292722/,2020-07-25 17:45:31,5,,,public
这个杀手不太冷,1994 / 法国 美国 / 剧情 动作 犯罪 / 吕克·贝松 / 让·雷诺 娜塔莉·波特曼,9.4,https://movie.douban.com/subject/1295644/,2020-07-25 17:44:27,5,,,public
阿甘正传,1994 / 美国 / 剧情 爱情 / 罗伯特·泽米吉斯 / 汤姆·汉克斯 罗宾·怀特,9.5,https://movie.douban.com/subject/1292720/,2020-07-25 17:44:02,5,,,public
霸王别姬,1993 / 中国大陆 中国香港 / 剧情 爱情 同性 / 陈凯歌 / 张国荣 张丰毅,9.6,https://movie.douban.com/subject/1291546/,2020-07-25 17:43:10,5,,,public
